,id,user,created_at,text,tweetinput,positive,neutral,negative,compound
39,1004503426766520320,ebonyg1,2018-06-06 23:20:54,"RT @WesSmith123: #FoxNews and #DonaldTrump are among the top worst things that have ever happened to America.

It’ll take decades to repair…","rt @wessmith123: #foxnews and #donaldtrump are among the top worst things that have ever happened to america.

it’ll take decades to repair…",0.069,0.772,0.158,-0.5106
40,1004503332755345408,BevAzevedo,2018-06-06 23:20:31,@KamalaHarris There’s laws in place for this. https://t.co/ZYiE3iEA23 #DonaldTrump,@kamalaharris there’s laws in place for this. https://t.co/zyie3iea23 #donaldtrump,0.0,1.0,0.0,0.0
41,1004503288069414913,TaraThatUp,2018-06-06 23:20:21,RT @ThePerezHilton: Where is the real Melania?? I’m not convinced this is her! https://t.co/tFdYhzUdXq #MelaniaTrump #DonaldTrump #MAGA,rt @theperezhilton: where is the real melania?? i’m not convinced this is her! https://t.co/tfdyhzudxq #melaniatrump #donaldtrump #maga,0.0,0.846,0.154,-0.4423
42,1004503227570839552,LetsPillowTalk,2018-06-06 23:20:06,#Happy420 #DonaldTrump gets very high! https://t.co/sKi8nfmbsq The secret life of Trump! #Comedy #Parody Toke kids! Ya,#happy420 #donaldtrump gets very high! https://t.co/ski8nfmbsq the secret life of trump! #comedy #parody toke kids! ya,0.0,1.0,0.0,0.0
43,1004503205101830145,sarahcalebs,2018-06-06 23:20:01,Retweet and like this if you love Donald trump #DonaldTrump,retweet and like this if you love donald trump #donaldtrump,0.456,0.544,0.0,0.7717
44,1004503492407451649,curioustotheend,2018-06-06 23:21:10,This is a #MUSLIM that I follow &amp; who follows me.  So before calling me an Islamaphobe you should read what an inte… https://t.co/SkPQJwhiQN,this is a #muslim that i follow &amp; who follows me.  so before calling me an islamaphobe you should read what an inte… https://t.co/skpqjwhiqn,0.0,1.0,0.0,0.0
45,1004503277776658432,slinki21,2018-06-06 23:20:18,"RT @MyLastGayNerve: I hope #JustinTrudeau explained the Friendly Giant in #Canada was a kids show.

(he might think all Canadians all giant…","rt @mylastgaynerve: i hope #justintrudeau explained the friendly giant in #canada was a kids show.

(he might think all canadians all giant…",0.253,0.747,0.0,0.7269
46,1004503127276453890,MyLastGayNerve,2018-06-06 23:19:42,"I hope #JustinTrudeau explained the Friendly Giant in #Canada was a kids show.

(he might think all Canadians all g… https://t.co/TI1C27jx88","i hope #justintrudeau explained the friendly giant in #canada was a kids show.

(he might think all canadians all g… https://t.co/ti1c27jx88",0.264,0.736,0.0,0.7269
47,1004502887349850114,CuriousObserve8,2018-06-06 23:18:45,RT @FrostBarnes: @Otispfudpucker @Jmalco And this is absolutely Donald Trump's and (Trump's boss) Vladimir Putin's agenda at work: weaken y…,rt @frostbarnes: @otispfudpucker @jmalco and this is absolutely donald trump's and (trump's boss) vladimir putin's agenda at work: weaken y…,0.0,0.872,0.128,-0.4215
48,1004501428780584960,CuriousObserve8,2018-06-06 23:12:58,"RT @NYtoFLsteve: I made a thing.

Feel free to share.

#trump #maga #idiot #canada #warof1812 #JustinTrudeau https://t.co/M5fWg8DTgL","rt @nytoflsteve: i made a thing.

feel free to share.

#trump #maga #idiot #canada #warof1812 #justintrudeau https://t.co/m5fwg8dtgl",0.297,0.703,0.0,0.6705
49,1004499463497371649,curioustotheend,2018-06-06 23:05:09,@CKNW A very dad story yet #JustinTrudeau allows undocumented ILLEGAL migrants across the border into Quebec by the… https://t.co/F7g6VtpJXR,@cknw a very dad story yet #justintrudeau allows undocumented illegal migrants across the border into quebec by the… https://t.co/f7g6vtpjxr,0.0,0.825,0.175,-0.5574
50,1004497030616530944,Serenity5018,2018-06-06 22:55:29,"RT @brianjpaulyoung: Well, 🇨🇦 knows exactly how stupid @realDonaldTrump is. We would like @JustinTrudeau to bar him from the G7 on Friday.…","rt @brianjpaulyoung: well, 🇨🇦 knows exactly how stupid @realdonaldtrump is. we would like @justintrudeau to bar him from the g7 on friday.…",0.17,0.704,0.126,0.0516
51,1004496828694388742,brianjpaulyoung,2018-06-06 22:54:41,"Well, 🇨🇦 knows exactly how stupid @realDonaldTrump is. We would like @JustinTrudeau to bar him from the G7 on Frida… https://t.co/fmLjrMCh4Z","well, 🇨🇦 knows exactly how stupid @realdonaldtrump is. we would like @justintrudeau to bar him from the g7 on frida… https://t.co/fmljrmch4z",0.177,0.692,0.131,0.0516
